Entity,Code,year,Day,Average surface temperature,Average surface temperature
United States,USA,1959,15/05/59,13.944596,8.668213
United States,USA,1959,15/06/59,19.60973,8.668213
United States,USA,1959,15/07/59,21.140984,8.668213
United States,USA,1959,15/08/59,20.964073,8.668213
United States,USA,1959,15/09/59,16.107397,8.668213
United States,USA,1959,15/10/59,9.283733,8.668213
United States,USA,1959,15/11/59,1.333305,8.668213
United States,USA,1959,15/12/59,-1.3256453,8.668213
United States,USA,1960,15/01/60,-4.0473,8.542515
United States,USA,1960,15/02/60,-2.8318338,8.542515
United States,USA,1960,15/03/60,-0.50090533,8.542515
United States,USA,1960,15/04/60,8.220982,8.542515
United States,USA,1960,15/05/60,13.602481,8.542515
United States,USA,1960,15/06/60,18.935375,8.542515
United States,USA,1960,15/07/60,21.709864,8.542515
United States,USA,1960,15/08/60,20.477482,8.542515
United States,USA,1960,15/09/60,16.799831,8.542515
United States,USA,1960,15/10/60,9.9888735,8.542515
United States,USA,1960,15/11/60,2.7943025,8.542515
United States,USA,1960,15/12/60,-2.638978,8.542515
United States,USA,1961,15/01/61,-3.5311317,8.425589
United States,USA,1961,15/02/61,-0.9168833,8.425589
United States,USA,1961,15/03/61,2.4307928,8.425589
United States,USA,1961,15/04/61,6.6080055,8.425589
United States,USA,1961,15/05/61,13.213505,8.425589
United States,USA,1961,15/06/61,19.14989,8.425589
United States,USA,1961,15/07/61,21.146765,8.425589
United States,USA,1961,15/08/61,20.60088,8.425589
United States,USA,1961,15/09/61,15.566287,8.425589
United States,USA,1961,15/10/61,9.219831,8.425589
United States,USA,1961,15/11/61,1.7083739,8.425589
United States,USA,1961,15/12/61,-4.0892525,8.425589
United States,USA,1962,15/01/62,-5.1444373,8.736434
United States,USA,1962,15/02/62,-0.7919428,8.736434
United States,USA,1962,15/03/62,0.42789295,8.736434
United States,USA,1962,15/04/62,8.239007,8.736434
United States,USA,1962,15/05/62,14.380144,8.736434
United States,USA,1962,15/06/62,18.32819,8.736434
United States,USA,1962,15/07/62,20.926273,8.736434
United States,USA,1962,15/08/62,20.846243,8.736434
United States,USA,1962,15/09/62,15.669999,8.736434
United States,USA,1962,15/10/62,10.758549,8.736434
United States,USA,1962,15/11/62,3.3217866,8.736434
United States,USA,1962,15/12/62,-2.1244898,8.736434
United States,USA,1963,15/01/63,-5.758544,8.866146
United States,USA,1963,15/02/63,-1.6921127,8.866146
